ID,FINISHED,TRACK TIME,BARRIER HITS,ROTATION ANGLE,SPEED,DOWN RAY
563,0,180,227,7,500,0.3
564,0,180,191,8,500,0.28
565,0,180,194,9,500,0.34
566,0,180,197,10,500,0.3
567,0,180,202,11,500,0.3
568,0,180,238,12,500,0.11
569,0,180,212,13,500,0.1
570,0,180,154,14,500,0.3
571,0,180,127,15,500,0.3
572,0,180,190,16,500,0.11
573,0,180,122,17,500,0.3
574,0,180,140,18,500,0.07
575,0,180,241,19,500,0.14
576,0,180,113,20,500,0.34
577,0,180,121,21,500,0.33
578,0,180,266,22,500,0.15
579,0,180,105,23,500,0.34
580,0,180,357,24,500,0.06
581,0,180,115,25,500,0.31
582,0,180,95,26,500,0.33
583,0,180,122,27,500,0.34
584,0,180,380,28,500,0.06
585,0,180,305,29,500,0.19
586,0,180,97,30,500,0.38
587,0,180,105,31,500,0.35
588,0,180,164,32,500,0.2
589,0,180,104,33,500,0.36
590,0,180,116,34,500,0.33
591,0,180,415,35,500,0.03
592,0,180,409,36,500,0.02
593,0,180,404,37,500,0.04
594,0,180,402,38,500,0.01
595,0,180,395,39,500,0.06
596,0,180,112,40,500,0.35
597,0,180,390,41,500,0.01
598,0,180,387,42,500,0.02
599,0,180,382,43,500,0.03
600,0,180,96,44,500,0.38
601,0,180,375,45,500,0.05
602,0,180,372,46,500,0.03
603,0,180,123,47,500,0.23
604,0,180,366,48,500,0.01
605,0,180,119,49,500,0.31
606,0,180,358,50,500,0.03
607,0,180,358,51,500,0.01
608,0,180,138,52,500,0.26
609,0,180,390,53,500,0.04
610,0,180,394,54,500,0.02
611,0,180,99,55,500,0.38
612,0,180,152,56,500,0.22
613,0,180,399,57,500,0.01
614,0,180,368,58,500,0.04
615,0,180,340,59,500,0.01
616,0,180,98,60,500,0.28
617,0,180,399,61,500,0.02
618,0,180,396,62,500,0.14
619,0,180,397,63,500,0.1
620,0,180,122,64,500,0.35
621,0,180,67,65,500,0.3
622,0,180,401,66,500,0.13
623,0,180,87,67,500,0.33
624,0,180,99,68,500,0.33
625,0,180,154,69,500,0.25
626,0,180,403,70,500,0.05
627,0,180,103,71,500,0.36
628,0,180,113,72,500,0.3
629,0,180,114,73,500,0.3
630,0,180,365,74,500,0.01
631,0,180,89,75,500,0.3
632,0,180,150,76,500,0.25
633,0,180,205,77,500,0.27
634,0,180,116,78,500,0.23
635,0,180,99,79,500,0.3
636,0,180,88,80,500,0.31
637,0,180,59,81,500,0.3
638,0,180,95,82,500,0.3
639,0,180,123,83,500,0.3
640,0,180,126,84,500,0.3
641,0,180,122,85,500,0.32
